,Cell Type,Fold,AUPRC,Validation AUPRC
70,Sncg,0,0.5569114710688059,0.3597619047619048
71,Sncg,1,0.45514073210168027,0.7866666666666666
72,Sncg,2,0.5305617069376682,0.6361111111111111
73,Sncg,3,0.6239444060714574,0.10989010989010989
74,Sncg,4,0.6592359901978861,0.4444444444444444
75,Sst,0,0.6048630080047006,0.36793650793650795
76,Sst,1,0.7186139485428266,0.34794372294372294
77,Sst,2,0.3923950754514698,0.5257469431153641
78,Sst,3,0.6702726187895942,0.4992982456140351
79,Sst,4,0.6823275045193646,0.5138888888888888
80,Vip,0,0.5187927768322025,0.48475365903937334
81,Vip,1,0.5679977784836507,0.31272727272727274
82,Vip,2,0.5203889950547961,0.34547619047619044
83,Vip,3,0.6721706806613135,0.4237706193588546
84,Vip,4,0.5672795172835785,0.5896180401985356
85,astro,0,0.71735320857848,0.8461339194293599
86,astro,1,0.8660773605918338,0.7786304604486423
87,astro,2,0.827573042940497,0.8965659340659341
88,astro,3,0.811458314748386,0.7320562695649987
89,astro,4,0.8613000914650125,0.7849807599807601
90,endo,0,0.7415097413623998,0.6863152753396966
91,endo,1,0.7548284326334869,0.8417104051778974
92,endo,2,0.7350264989166081,0.781069885268977
93,endo,3,0.7933264343532408,0.6293076273568396
94,endo,4,0.48616936801146315,0.48751649448847295
95,micro,0,0.8568383681709733,0.6547619047619049
96,micro,1,0.9661979116830778,0.9562702003878474
97,micro,2,0.8647493890007225,0.807002942059333
98,micro,3,0.9031340857197718,0.9945054945054945
99,micro,4,0.7723798602966858,0.7974132004780272
100,oligo,0,0.37403335673616256,0.4455912279441691
101,oligo,1,0.45322340407521183,0.24865373309817754
102,oligo,2,0.5036397858218298,0.31701784682553913
103,oligo,3,0.45215835733982696,0.5245152962252826
104,oligo,4,0.7227912597174857,0.8172308877476882
105,opc,0,0.6836912191087812,0.7229988052568699
106,opc,1,0.6574535846951594,0.7204395114689232
107,opc,2,0.7932657818184494,0.7079925067670166
108,opc,3,0.7177388079839793,0.7500034506556246
109,opc,4,0.5449166430018499,0.570022379581203
110,vlmc,0,0.8684446290537964,0.8858794182008468
111,vlmc,1,0.8563004237735733,0.8400351935646053
112,vlmc,2,0.8482562534436231,0.8070801139390804
113,vlmc,3,0.8548003194252527,0.903567947646895
114,vlmc,4,0.8710129386818957,0.8358915729499968
