fname,fold,epochs,loss,acc,bal_acc,auprc,auroc,val_loss,val_acc,val_bal_acc,val_auprc,val_auroc
UCLA - ASD - inhibitory,0,521,0.4879036843776703,0.7559681534767151,0.808419881305638,0.431936615109687,0.8801186943620177,0.6488091349601746,0.6526315808296204,0.6091731266149871,0.3336196454617507,0.6976744186046512
UCLA - ASD - inhibitory,1,220,0.46786484122276306,0.8116710782051086,0.8170125192934317,0.3919737475488079,0.9028468530269249,0.956904411315918,0.6421052813529968,0.48958333333333337,0.3066125598892998,0.5425
UCLA - ASD - inhibitory,2,209,0.4909317195415497,0.7639257311820984,0.8033173635307782,0.45016876987476195,0.8749999999999999,0.7175126671791077,0.7157894968986511,0.5610632183908046,0.16189956245656156,0.5790229885057472
UCLA - ASD - inhibitory,3,220,0.44683173298835754,0.7984085083007812,0.8553304904051173,0.48183875770719786,0.9069651741293533,0.8980077505111694,0.7263157963752747,0.6550324675324675,0.17988261166750869,0.5405844155844156
UCLA - ASD - inhibitory,4,209,0.46734973788261414,0.800000011920929,0.8431461012106174,0.40103209612283175,0.8901421159485676,0.7876683473587036,0.695652186870575,0.5219512195121951,0.19276439531430456,0.5829268292682926
UCLA - ASD - micro,0,314,0.5481072664260864,0.7113820910453796,0.768387875014592,0.5265954405945972,0.8460718315887779,0.7261184453964233,0.5506072640419006,0.5181016324381253,0.1495904529221079,0.544102159031069
UCLA - ASD - micro,1,304,0.5128516554832458,0.7520325183868408,0.7981615585302221,0.6415417962205415,0.8832890384349678,0.7740226984024048,0.6072874665260315,0.52076802507837,0.21471418195997904,0.5728840125391849
UCLA - ASD - micro,2,307,0.5058659315109253,0.7459349632263184,0.7879238360323887,0.6150907592192639,0.8873434337044535,0.7662429809570312,0.623481810092926,0.547275641025641,0.21025655132393042,0.5639792899408284
UCLA - ASD - micro,3,309,0.5158522129058838,0.7510162591934204,0.7892875209152107,0.6609420208859389,0.8853029300751003,0.7335628271102905,0.6315789222717285,0.48486045286993157,0.16353688374333675,0.5537124802527646
UCLA - ASD - micro,4,326,0.534784197807312,0.7327935099601746,0.7785230221120707,0.5636469392559486,0.8611625295279401,0.6847261786460876,0.6131687164306641,0.554951690821256,0.18998283671142357,0.5984970477724101
UCLA - ASD - oligo,0,253,0.49305441975593567,0.7564102411270142,0.7893314050506174,0.6688013236051554,0.8811881188118812,0.8122164011001587,0.6131386756896973,0.5403672903672904,0.2519896542975172,0.5647955647955648
UCLA - ASD - oligo,1,298,0.536832332611084,0.7234432101249695,0.7777149321266968,0.5598715904452377,0.8527671423599025,0.7864705324172974,0.5182482004165649,0.5022883295194508,0.17108224199438377,0.490465293668955
UCLA - ASD - oligo,2,300,0.5394207239151001,0.7106227278709412,0.7695106182471674,0.5989468130248843,0.8526814087532052,0.712393045425415,0.6204379796981812,0.5401917404129793,0.26330501711255566,0.6157817109144543
UCLA - ASD - oligo,3,310,0.5105534791946411,0.7728937864303589,0.7911659192825111,0.652335822779391,0.8697757847533633,0.6884651780128479,0.5766423344612122,0.5407407407407407,0.29445053175672153,0.6158249158249158
UCLA - ASD - oligo,4,315,0.5460765957832336,0.6879562139511108,0.7392410714285714,0.5807812288943275,0.8349330357142857,0.6919469237327576,0.614814817905426,0.537037037037037,0.25020724590387666,0.6244855967078189
UCLA - ASD - opc,0,218,0.2796805202960968,0.8720930218696594,0.9299363057324841,0.8067179606885488,0.972823779193206,1.210847020149231,0.8139534592628479,0.4268292682926829,0.0494047619047619,0.31707317073170727
UCLA - ASD - opc,1,209,0.19909155368804932,0.8837209343910217,0.9382716049382716,0.7969172494172494,0.9833333333333334,2.1871700286865234,0.6976743936538696,0.4166666666666667,0.2172544896229107,0.5873015873015873
UCLA - ASD - opc,2,676,0.2793365716934204,0.854651153087616,0.9198717948717949,0.7699210116973274,0.9715544871794872,0.49828246235847473,0.7441860437393188,0.8690476190476191,0.2,0.9047619047619048
UCLA - ASD - opc,3,233,0.2626681327819824,0.895348846912384,0.94375,0.7930224867724869,0.9786458333333333,1.2055063247680664,0.8604651093482971,0.7473684210526316,0.2573809523809524,0.668421052631579
UCLA - ASD - opc,4,628,0.289018839597702,0.8662790656089783,0.9267515923566879,0.6681747511747511,0.9600849256900212,0.4940457046031952,0.6279069781303406,0.8048780487804879,0.6,0.9024390243902439
UCLA - ASD - vlmc,0,342,0.4983019232749939,0.7854251265525818,0.7992778249787595,0.505988925743127,0.8721325403568394,0.6425670981407166,0.75,0.6097402597402597,0.2297603824834238,0.6891233766233766
UCLA - ASD - vlmc,1,277,0.48966553807258606,0.7621457576751709,0.7874534116649069,0.5166015017539541,0.8749853353908907,0.7479540109634399,0.7177419066429138,0.5760368663594471,0.20325938156163198,0.6014568158168575
UCLA - ASD - vlmc,2,282,0.5013959407806396,0.7439271211624146,0.8075844854070661,0.527352188745849,0.881720430107527,0.689592719078064,0.625,0.6149038461538461,0.30085225501470175,0.6580528846153846
UCLA - ASD - vlmc,3,307,0.5202016234397888,0.7429149746894836,0.7720969089390142,0.49173590452472915,0.856826276216858,0.6633791327476501,0.6975806355476379,0.6189877660465896,0.21001306635454092,0.6703536115300822
UCLA - ASD - vlmc,4,422,0.5201668739318848,0.7379032373428345,0.7651123574911104,0.47209583714612974,0.849591260676711,0.6611859202384949,0.6803278923034668,0.65406162464986,0.3032460058606638,0.6803921568627451
