Drug ID,Species,BBB,Genes,Num Genes,Mean Mean,Mean STD,Drug Relevance Score
DB00906,Humans,False,['SLC6A1'],1,0.01784349598,0.0152618620588363,0.2559490811362692
DB12808,Humans,False,['RARG'],1,0.01781073576,0.0198216641265547,0.2554791649149066
DB09092,Humans,False,['GAPDH'],1,0.01736744364,0.0145562472202653,0.24912053368501072
DB14723,Humans,False,"['NTRK2', 'NTRK3']",2,0.012190345076,0.01274793144805695,0.2472889011512916
DB01234,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB01260,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00240,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB01410,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB01222,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00223,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00635,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00588,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB01384,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB01380,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB15566,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00620,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00180,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB13867,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00596,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB14649,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB13158,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00324,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00860,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00846,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00838,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB01013,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00547,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB01047,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB14596,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00764,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00443,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00253,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00959,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB14512,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00663,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB01130,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00394,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00769,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00288,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB06781,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB08906,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00896,Humans,False,['NR3C1'],1,0.0171344369,0.0081246813670896,0.2457782592188185
DB00643,Humans,False,"['TUBA1A', 'TUBB4B']",2,0.01208909366,0.00640648656263895,0.24523495179657256
DB01179,Humans,False,"['TUBA4A', 'TUBB']",2,0.0118420053499999,0.008397101885703601,0.24022260831602987
DB06607,Humans,True,['FCGR2A'],1,0.0166613908,0.0069716520280766,0.23899283360683052
DB04841,Humans,False,"['CACNA1G', 'CACNA1H', 'CALM1']",3,0.0095575917333333,0.005161509251662966,0.2374557714953195
DB00570,Humans,False,"['TUBA1A', 'TUBB']",2,0.01160006701999995,0.0064414274483172,0.23531473545442766
DB16353,Humans,False,['PTPRB'],1,0.01624133708,0.0150176809109516,0.23296753655840588
DB08900,Humans,True,['GLP2R'],1,0.01604284518,0.0142267561656264,0.230120346777046
DB14543,Humans,False,"['ANXA1', 'NR3C1']",2,0.01132233077,0.0061331911352091005,0.22968067902336028
DB14544,Humans,False,"['ANXA1', 'NR3C1']",2,0.01132233077,0.0061331911352091005,0.22968067902336028
DB14542,Humans,False,"['ANXA1', 'NR3C1']",2,0.01132233077,0.0061331911352091005,0.22968067902336028
DB14541,Humans,False,"['ANXA1', 'NR3C1']",2,0.01132233077,0.0061331911352091005,0.22968067902336028
DB14539,Humans,False,"['ANXA1', 'NR3C1']",2,0.01132233077,0.0061331911352091005,0.22968067902336028
DB14538,Humans,False,"['ANXA1', 'NR3C1']",2,0.01132233077,0.0061331911352091005,0.22968067902336028
DB00741,Humans,False,"['ANXA1', 'NR3C1']",2,0.01132233077,0.0061331911352091005,0.22968067902336028
DB14540,Humans,False,"['ANXA1', 'NR3C1']",2,0.01132233077,0.0061331911352091005,0.22968067902336028
DB04845,Humans,False,['TUBB3'],1,0.0160072358,0.0057563775933696,0.22960956188931722
DB11311,Humans,True,['F13A1'],1,0.01570046732,0.0177218875026062,0.22520924086110752
DB11571,Humans,True,['F13A1'],1,0.01570046732,0.0177218875026062,0.22520924086110752
DB13151,Humans,True,['F13A1'],1,0.01570046732,0.0177218875026062,0.22520924086110752
DB11300,Humans,True,['F13A1'],1,0.01570046732,0.0177218875026062,0.22520924086110752
DB13200,Humans,True,['CSF3R'],1,0.01568209686,0.0119919280161298,0.2249457329497475
DB00019,Humans,True,['CSF3R'],1,0.01568209686,0.0119919280161298,0.2249457329497475
DB00099,Humans,True,['CSF3R'],1,0.01568209686,0.0119919280161298,0.2249457329497475
DB13144,Humans,True,['CSF3R'],1,0.01568209686,0.0119919280161298,0.2249457329497475
DB01244,Humans,False,['CACNA1H'],1,0.0155966355,0.0100884299731583,0.22371986574361405
DB00755,Humans,False,"['RARG', 'RXRG']",2,0.011017126424,0.01142805339056295,0.2234894147992221
DB00042,Humans,True,"['SYT2', 'VAMP1']",2,0.010998215330011149,0.0066970896473442,0.2231057912329558
DB00398,Humans,False,"['FGFR1', 'FLT1', 'FLT3', 'KIT']",4,0.007692141967499975,0.003470049191101025,0.22067387139359812
DB01303,Humans,False,['HDAC2'],1,0.01522724596,0.0083459977763751,0.21842130130028298
DB01223,Humans,False,['HDAC2'],1,0.01522724596,0.0083459977763751,0.21842130130028298
DB00451,Humans,False,"['ITGAV', 'THRA', 'THRB']",3,0.008771646290814667,0.003350321824663166,0.21792917037930756
DB01041,Humans,False,"['FGFR2', 'NFKB1']",2,0.01069105618259,0.009257364315991199,0.21687487261902044
DB01144,Humans,False,"['CA2', 'CA4']",2,0.010682475537,0.00677363341335715,0.216700808767186
DB00311,Humans,False,"['CA2', 'CA4']",2,0.010682475537,0.00677363341335715,0.216700808767186
DB00869,Humans,False,"['CA2', 'CA4']",2,0.010682475537,0.00677363341335715,0.216700808767186
DB00703,Humans,False,"['CA2', 'CA4']",2,0.010682475537,0.00677363341335715,0.216700808767186
DB00028,Humans,True,"['C3', 'FCGR2A']",2,0.010630364513999999,0.006085829322242451,0.21564370353060738
DB01032,Humans,True,['SLC22A6'],1,0.0149907028000088,0.0121195306055656,0.21502830003434958
DB00696,Humans,False,"['ADRA1A', 'ADRA1B', 'HTR2A']",3,0.008629252187646666,0.005399458449684234,0.2143914275495718
DB08814,Humans,False,"['NFKB1', 'PDE10A']",2,0.010502005945999999,0.0056287787024912,0.21303986836136632
DB02546,Humans,False,"['HDAC1', 'HDAC2', 'HDAC3']",3,0.008539170414,0.0055526993231994,0.2121533703427198
DB01442,Humans,False,['HTR2A'],1,0.0146819956,0.0070429534159809,0.21060016979176902
DB08810,Humans,False,['HTR2A'],1,0.0146819956,0.0070429534159809,0.21060016979176902
DB04908,Humans,False,['HTR2A'],1,0.0146819956,0.0070429534159809,0.21060016979176902
DB09194,Humans,False,['HTR2A'],1,0.0146819956,0.0070429534159809,0.21060016979176902
DB05316,Humans,False,['HTR2A'],1,0.0146819956,0.0070429534159809,0.21060016979176902
DB00924,Humans,False,['HTR2A'],1,0.0146819956,0.0070429534159809,0.21060016979176902
DB01149,Humans,False,['HTR2A'],1,0.0146819956,0.0070429534159809,0.21060016979176902
DB01242,Humans,False,['HTR2A'],1,0.0146819956,0.0070429534159809,0.21060016979176902
DB00805,Humans,False,['HTR2A'],1,0.0146819956,0.0070429534159809,0.21060016979176902
DB00247,Humans,False,['HTR2A'],1,0.0146819956,0.0070429534159809,0.21060016979176902
DB00370,Humans,False,['HTR2A'],1,0.0146819956,0.0070429534159809,0.21060016979176902
DB00656,Humans,False,['HTR2A'],1,0.0146819956,0.0070429534159809,0.21060016979176902
DB00321,Humans,False,['HTR2A'],1,0.0146819956,0.0070429534159809,0.21060016979176902
DB00540,Humans,False,['HTR2A'],1,0.0146819956,0.0070429534159809,0.21060016979176902
DB01151,Humans,False,['HTR2A'],1,0.0146819956,0.0070429534159809,0.21060016979176902
DB00148,Humans,False,['CKB'],1,0.01455942528,0.0067008692365097,0.20884200755642332
DB13191,Humans,False,['CKB'],1,0.01455942528,0.0067008692365097,0.20884200755642332
DB00831,Humans,False,"['ADRA1A', 'CALY', 'DRD2']",3,0.008399698906286633,0.007561523833573132,0.20868823860349844
DB01622,Humans,False,"['ADRA1A', 'ADRA1B', 'DRD2']",3,0.008340144419933334,0.008356351215754267,0.20720862356054678
DB00182,Humans,True,['CARTPT'],1,0.0143652108,0.0074039065670013,0.20605617356093978
DB00412,Humans,False,['PPARG'],1,0.01411267486,0.0070790535282243,0.20243377008858593
DB05490,Humans,False,['PPARG'],1,0.01411267486,0.0070790535282243,0.20243377008858593
DB01132,Humans,False,['PPARG'],1,0.01411267486,0.0070790535282243,0.20243377008858593
DB09198,Humans,False,['PPARG'],1,0.01411267486,0.0070790535282243,0.20243377008858593
DB11133,Humans,True,['PPARG'],1,0.01411267486,0.0070790535282243,0.20243377008858593
DB00966,Humans,False,['PPARG'],1,0.01411267486,0.0070790535282243,0.20243377008858593
DB00197,Humans,False,['PPARG'],1,0.01411267486,0.0070790535282243,0.20243377008858593
DB08915,Humans,False,['PPARG'],1,0.01411267486,0.0070790535282243,0.20243377008858593
DB01393,Humans,False,['PPARG'],1,0.01411267486,0.0070790535282243,0.20243377008858593
DB06772,Humans,False,['TUBA4A'],1,0.0139890389799999,0.0121369567007489,0.20066032334266973
DB00364,Humans,False,"['EGF', 'FGF2']",2,0.0098607544,0.0062320342016569,0.20003167300813524
DB01611,Humans,False,['TLR7'],1,0.01388155446,0.0133029775270839,0.19911855349212124
DB00724,Humans,False,['TLR7'],1,0.01388155446,0.0133029775270839,0.19911855349212124
DB16580,Humans,False,['TLR7'],1,0.01388155446,0.0133029775270839,0.19911855349212124
DB01119,Humans,False,['CA2'],1,0.01382514812,0.0084992235415735,0.19830945470848366
DB09472,Humans,False,['CA2'],1,0.01382514812,0.0084992235415735,0.19830945470848366
DB00880,Humans,False,['CA2'],1,0.01382514812,0.0084992235415735,0.19830945470848366
DB01031,Humans,False,['CA2'],1,0.01382514812,0.0084992235415735,0.19830945470848366
DB01194,Humans,False,['CA2'],1,0.01382514812,0.0084992235415735,0.19830945470848366
DB05271,Humans,False,['DRD2'],1,0.01381467229686,0.015913631714191,0.19815918834196924
DB00409,Humans,False,['DRD2'],1,0.01381467229686,0.015913631714191,0.19815918834196924
DB01403,Humans,False,['DRD2'],1,0.01381467229686,0.015913631714191,0.19815918834196924
DB00850,Humans,False,['DRD2'],1,0.01381467229686,0.015913631714191,0.19815918834196924
DB04842,Humans,True,['DRD2'],1,0.01381467229686,0.015913631714191,0.19815918834196924
DB00248,Humans,False,['DRD2'],1,0.01381467229686,0.015913631714191,0.19815918834196924
DB00268,Humans,False,['DRD2'],1,0.01381467229686,0.015913631714191,0.19815918834196924
DB00714,Humans,False,['DRD2'],1,0.01381467229686,0.015913631714191,0.19815918834196924
DB09018,Humans,False,['DRD2'],1,0.01381467229686,0.015913631714191,0.19815918834196924
DB00623,Humans,False,['DRD2'],1,0.01381467229686,0.015913631714191,0.19815918834196924
DB00502,Humans,True,['DRD2'],1,0.01381467229686,0.015913631714191,0.19815918834196924
DB00490,Humans,False,['DRD2'],1,0.01381467229686,0.015913631714191,0.19815918834196924
DB00433,Humans,False,['DRD2'],1,0.01381467229686,0.015913631714191,0.19815918834196924
DB00420,Humans,False,['DRD2'],1,0.01381467229686,0.015913631714191,0.19815918834196924
